seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	71954774	71954968	195	*	X0814	401	71950121	71955220	5100	-	0	inside	251	PHOX2A
chr11	71955029	71955055	27	*	X0815	401	71950121	71955220	5100	-	0	inside	164	PHOX2A
chr11	74801938	74802057	120	*	X0822	341152	74799796	74800758	963	-	1179	upstream	1179	OR2AT4
chr11	117957625	117957744	120	*	X0872	100526771	117886487	117957508	71022	-	116	upstream	116	SMIM35
chr12	6756388	6756403	16	*	X0907	84519	6747242	6756580	9339	-	0	inside	176	ACRBP
chr12	10607837	10607971	135	*	X0911	3821	10594863	10607215	12353	-	621	upstream	621	KLRC1
chr12	48864802	48864936	135	*	X0990	23519	48866448	48866843	396	+	1511	upstream	1511	ANP32D
chr12	53045681	53045785	105	*	X0995	3849	53038342	53045959	7618	-	0	inside	173	KRT2
chr12	102876094	102876198	105	*	X1077	3479	102789645	102874378	84734	-	1715	upstream	1715	IGF1
chr12	120807252	120807517	266	*	X1144	4440	120779133	120806983	27851	-	268	upstream	268	MSI1
chr12	133187812	133187976	165	*	X1191	100507055	133179736	133187037	7302	-	774	upstream	774	LRCOL1
chr12	133188037	133188291	255	*	X1192	100507055	133179736	133187037	7302	-	999	upstream	999	LRCOL1
chr12	133188817	133188936	120	*	X1193	100507055	133179736	133187037	7302	-	1779	upstream	1779	LRCOL1
chr12	133706150	133706269	120	*	X1220	10795	133707213	133783697	76485	+	943	upstream	943	ZNF268
chr12	133706150	133706269	120	*	X1220	7556	133707213	133736049	28837	+	943	upstream	943	ZNF10
chr12	133811956	133812176	221	*	X1228	647589	133794898	133812422	17525	-	0	inside	245	ANHX
chr12	133812325	133812360	36	*	X1229	647589	133794898	133812422	17525	-	0	inside	61	ANHX
chr12	133812714	133812833	120	*	X1230	647589	133794898	133812422	17525	-	291	upstream	291	ANHX
chr12	133812879	133812998	120	*	X1231	647589	133794898	133812422	17525	-	456	upstream	456	ANHX
chr12	133813089	133813193	105	*	X1232	647589	133794898	133812422	17525	-	666	upstream	666	ANHX
chr14	21980273	21980377	105	*	X1283	56339	21966282	21979457	13176	-	815	upstream	815	METTL3
chr14	105390228	105390332	105	*	X1455	122618	105391187	105399573	8387	+	854	upstream	854	PLD4
chr14	105391008	105391058	51	*	X1456	122618	105391187	105399573	8387	+	128	upstream	128	PLD4
chr15	20485824	20486172	349	*	X1471	646096	20487997	20496811	8815	+	1824	upstream	1824	CHEK2P2
chr15	20487744	20487848	105	*	X1472	646096	20487997	20496811	8815	+	148	upstream	148	CHEK2P2
chr15	22545586	22545642	57	*	X1486	646396	22546565	22570831	24267	+	922	upstream	922	REREP3
chr15	83737996	83738130	135	*	X1642	53339	83685181	83736106	50926	-	1889	upstream	1889	BTBD1
chr15	84322801	84322890	90	*	X1645	57188	84322838	84708593	385756	+	0	overlapStart	0	ADAMTSL3
chr16	3423322	3423474	153	*	X1731	100463285	3421053	3422283	1231	-	1038	upstream	1038	MTRNR2L4
chr16	10479389	10479448	60	*	X1748	80063	10479912	10577495	97584	+	463	upstream	463	ATF7IP2
chr16	29984569	29984673	105	*	X1790	9344	29985188	30003582	18395	+	514	upstream	514	TAOK2
chr16	48274409	48274514	106	*	X1811	100616339	48274603	48420559	145957	+	88	upstream	88	MIR548AE2
chr16	56224982	56225116	135	*	X1841	2775	56225251	56391356	166106	+	134	upstream	134	GNAO1
chr16	56224982	56225116	135	*	X1841	283856	56126899	56225006	98108	-	0	overlapStart	0	LOC283856
chr16	56225162	56225270	109	*	X1842	2775	56225251	56391356	166106	+	0	overlapStart	0	GNAO1
chr16	56225162	56225270	109	*	X1842	283856	56126899	56225006	98108	-	155	upstream	155	LOC283856
chr17	5018462	5018485	24	*	X1965	9098	5019733	5078324	58592	+	1247	upstream	1247	USP6
chr17	5096927	5096927	1	*	X1969	84622	5082831	5095178	12348	-	1748	upstream	1748	ZNF594
chr17	6734906	6734972	67	*	X1985	83659	6703300	6735060	31761	-	0	inside	87	TEKT1
chr17	18577940	18578014	75	*	X2042	2310	18569236	18576494	7259	-	1445	upstream	1445	FOXO3B
chr17	38020168	38020257	90	*	X2089	22806	37913968	38020441	106474	-	0	inside	183	IKZF3
chr17	56769420	56769599	180	*	X2138	56155	56634038	56769416	135379	-	3	upstream	3	TEX14
chr17	56769420	56769599	180	*	X2138	5889	56769963	56811692	41730	+	363	upstream	363	RAD51C
chr18	2845196	2845255	60	*	X2219	84034	2847028	2914090	67063	+	1772	upstream	1772	EMILIN2
chr19	2867261	2867335	75	*	X2289	80032	2867333	2878503	11171	+	0	overlapStart	0	ZNF556
chr19	3869095	3869377	283	*	X2301	23217	3804022	3869027	65006	-	67	upstream	67	ZFR2
chr19	3869408	3869542	135	*	X2302	23217	3804022	3869027	65006	-	380	upstream	380	ZFR2
chr19	8943896	8943927	32	*	X2329	148156	8920382	8942975	22594	-	920	upstream	920	ZNF558
chr19	9433643	9433747	105	*	X2334	100529215	9434902	9493293	58392	+	1154	upstream	1154	ZNF559-ZNF177
chr19	9433643	9433747	105	*	X2334	84527	9434448	9454521	20074	+	700	upstream	700	ZNF559
chr19	9609468	9609617	150	*	X2341	147741	9577031	9609279	32249	-	188	upstream	188	ZNF560
chr19	9649517	9649637	121	*	X2343	79088	9638681	9649303	10623	-	213	upstream	213	ZNF426
chr19	9650092	9650196	105	*	X2344	79088	9638681	9649303	10623	-	788	upstream	788	ZNF426
chr19	9650227	9650361	135	*	X2345	79088	9638681	9649303	10623	-	923	upstream	923	ZNF426
chr19	9695439	9695513	75	*	X2347	7675	9676292	9695209	18918	-	229	upstream	229	ZNF121
chr19	9732305	9732321	17	*	X2349	284385	9732158	9745538	13381	+	0	inside	146	ZNF561-AS1
chr19	9732305	9732321	17	*	X2349	93134	9718002	9731916	13915	-	388	upstream	388	ZNF561
chr19	9880834	9880968	135	*	X2354	162993	9862669	9879410	16742	-	1423	upstream	1423	ZNF846
chr19	11908610	11908643	34	*	X2361	126069	11909391	11919306	9916	+	747	upstream	747	ZNF491
chr19	11908989	11909014	26	*	X2362	126069	11909391	11919306	9916	+	376	upstream	376	ZNF491
chr19	12406056	12406128	73	*	X2368	51710	12335501	12405714	70214	-	341	upstream	341	ZNF44
chr19	12406339	12406409	71	*	X2369	51710	12335501	12405714	70214	-	624	upstream	624	ZNF44
chr19	12721030	12721034	5	*	X2381	163049	12721732	12740676	18945	+	697	upstream	697	ZNF791
chr19	22195043	22195147	105	*	X2419	7757	22115760	22193745	77986	-	1297	upstream	1297	ZNF208
chr19	22468751	22468855	105	*	X2425	100287226	22469252	22499978	30727	+	396	upstream	396	ZNF729
chr19	22778735	22778884	150	*	X2447	440518	22779059	22786352	7294	+	174	upstream	174	GOLGA2P9
chr19	22779080	22779169	90	*	X2448	440518	22779059	22786352	7294	+	0	inside	20	GOLGA2P9
chr19	23299753	23299842	90	*	X2481	100129543	23299777	23330017	30241	+	0	overlapStart	0	ZNF730
chr19	23580251	23580370	120	*	X2496	7644	23540498	23578269	37772	-	1981	upstream	1981	ZNF91
chr19	23941699	23941908	210	*	X2512	148213	23921997	23941693	19697	-	5	upstream	5	ZNF681
chr19	30414064	30414149	86	*	X2615	8725	30414551	30507519	92969	+	401	upstream	401	URI1
chr19	33716730	33716864	135	*	X2648	56301	33699570	33716756	17187	-	0	overlapStart	0	SLC7A10
chr19	33717898	33718182	285	*	X2649	56301	33699570	33716756	17187	-	1141	upstream	1141	SLC7A10
chr19	35265125	35265229	105	*	X2678	148103	35248979	35264134	15156	-	990	upstream	990	ZNF599
chr19	35416473	35416577	105	*	X2698	90075	35417807	35436076	18270	+	1229	upstream	1229	ZNF30
chr19	35416600	35416734	135	*	X2699	90075	35417807	35436076	18270	+	1072	upstream	1072	ZNF30
chr19	36824005	36824124	120	*	X2728	100506930	36803963	36822620	18658	-	1384	upstream	1384	LINC00665
chr19	36870307	36870441	135	*	X2731	57677	36825355	36870105	44751	-	201	upstream	201	ZFP14
chr19	37018833	37018985	153	*	X2740	339324	37001589	37019248	17660	-	0	inside	262	ZNF260
chr19	37020106	37020225	120	*	X2741	339324	37001589	37019248	17660	-	857	upstream	857	ZNF260
chr19	37095655	37095819	165	*	X2746	84911	37095719	37119499	23781	+	0	overlapStart	0	ZNF382
chr19	37406477	37406611	135	*	X2768	374900	37407231	37488834	81604	+	619	upstream	619	ZNF568
chr19	37567340	37567459	120	*	X2787	147923	37569382	37620651	51270	+	1922	upstream	1922	ZNF420
chr19	37664341	37664475	135	*	X2793	199704	37641001	37663615	22615	-	725	upstream	725	ZNF585A
chr19	37701074	37701193	120	*	X2798	92285	37672481	37701451	28971	-	0	inside	257	ZNF585B
chr19	37803275	37803394	120	*	X2800	284459	37803739	37855357	51619	+	344	upstream	344	ZNF875
chr19	38346449	38346583	135	*	X2831	100631378	38314363	38345836	31474	-	612	upstream	612	WDR87BP
chr19	41430208	41430312	105	*	X2863	1556	41430170	41456565	26396	+	0	inside	37	CYP2B7P
chr19	41620239	41620373	135	*	X2869	1572	41620353	41634281	13929	+	0	overlapStart	0	CYP2F1
chr19	43385861	43385877	17	*	X2883	5669	43233275	43383871	150597	-	1989	upstream	1989	PSG1
chr19	43588866	43588913	48	*	X2887	5670	43568362	43586893	18532	-	1972	upstream	1972	PSG2
chr19	43774744	43774878	135	*	X2890	5678	43757435	43773682	16248	-	1061	upstream	1061	PSG9
chr19	44324505	44324654	150	*	X2893	284348	44300079	44324808	24730	-	0	inside	153	LYPD5
chr19	44407671	44407790	120	*	X2899	100505715	44395956	44405955	10000	-	1715	upstream	1715	LOC100505715
chr19	44715208	44715297	90	*	X2918	7770	44716691	44741421	24731	+	1393	upstream	1393	ZNF227
chr19	44906055	44906159	105	*	X2929	26974	44889808	44905777	15970	-	277	upstream	277	ZNF285
chr19	44906055	44906159	105	*	X2929	7771	44830706	44905777	75072	-	277	upstream	277	ZNF112
chr19	48547006	48547125	120	*	X2961	56344	48532640	48547311	14672	-	0	inside	185	CABP5
chr19	48548195	48548509	315	*	X2962	56344	48532640	48547311	14672	-	883	upstream	883	CABP5
chr19	50831008	50831255	248	*	X2970	7376	50832949	50886285	53337	+	1693	upstream	1693	NR1H2
chr19	52098754	52098993	240	*	X2997	729975	52095036	52097633	2598	-	1120	upstream	1120	LINC01530
chr19	52395674	52395793	120	*	X3029	84765	52359056	52394145	35090	-	1528	upstream	1528	ZNF577
chr19	52430872	52431006	135	*	X3034	79898	52430688	52449011	18324	+	0	inside	183	ZNF613
chr19	52490618	52490707	90	*	X3036	59348	52467593	52490079	22487	-	538	upstream	538	ZNF350
chr19	52551734	52551872	139	*	X3039	9668	52536677	52552073	15397	-	0	inside	200	ZNF432
chr19	52553294	52553413	120	*	X3040	9668	52536677	52552073	15397	-	1220	upstream	1220	ZNF432
chr19	52599063	52599317	255	*	X3046	284371	52567719	52599018	31300	-	44	upstream	44	ZNF841
chr19	52643283	52643470	188	*	X3051	90317	52617653	52643191	25539	-	91	upstream	91	ZNF616
chr19	52674811	52675065	255	*	X3054	162962	52658125	52674896	16772	-	0	overlapStart	0	ZNF836
chr19	52871831	52871965	135	*	X3073	400713	52873170	52893597	20428	+	1204	upstream	1204	ZNF880
chr19	52899177	52899193	17	*	X3079	84436	52901121	52921657	20537	+	1927	upstream	1927	ZNF528
chr19	52956630	52956719	90	*	X3083	147660	52956829	53020131	63303	+	109	upstream	109	ZNF578
chr19	53030680	53030874	195	*	X3093	388558	53030909	53067717	36809	+	34	upstream	34	ZNF808
chr19	53031205	53031429	225	*	X3094	388558	53030909	53067717	36809	+	0	inside	295	ZNF808
chr19	53073321	53073425	105	*	X3099	55762	53073526	53090427	16902	+	100	upstream	100	ZNF701
chr19	53193848	53193952	105	*	X3124	55769	53115618	53193886	78269	-	0	overlapStart	0	ZNF83
chr19	53238348	53238512	165	*	X3132	81856	53206066	53238307	32242	-	40	upstream	40	ZNF611
chr19	53290105	53290239	135	*	X3141	162966	53268748	53290034	21287	-	70	upstream	70	ZNF600
chr19	53401030	53401179	150	*	X3146	162967	53367119	53400946	33828	-	83	upstream	83	ZNF320
chr19	53445980	53446054	75	*	X3153	399669	53430388	53445847	15460	-	132	upstream	132	ZNF321P
chr19	53466209	53466373	165	*	X3157	100529240	53430388	53466164	35777	-	44	upstream	44	ZNF816-ZNF321P
chr19	53466209	53466373	165	*	X3157	125893	53452632	53466164	13533	-	44	upstream	44	ZNF816
chr19	53496877	53497017	141	*	X3162	79986	53471504	53496784	25281	-	92	upstream	92	ZNF702P
chr19	53497358	53497462	105	*	X3163	79986	53471504	53496784	25281	-	573	upstream	573	ZNF702P
chr19	53635840	53635974	135	*	X3182	55786	53611132	53636173	25042	-	0	inside	198	ZNF415
chr19	53662355	53662474	120	*	X3186	84671	53641957	53662322	20366	-	32	upstream	32	ZNF347
chr19	53696658	53696752	95	*	X3189	79788	53666552	53696619	30068	-	38	upstream	38	ZNF665
chr19	53758170	53758364	195	*	X3199	342926	53738638	53758111	19474	-	58	upstream	58	ZNF677
chr19	53836810	53836944	135	*	X3207	91664	53837002	53858122	21121	+	57	upstream	57	ZNF845
chr19	53868767	53868841	75	*	X3214	170958	53868968	53889841	20874	+	126	upstream	126	ZNF525
chr19	53868767	53868841	75	*	X3214	91661	53868968	53930574	61607	+	126	upstream	126	ZNF765
chr19	53868859	53868918	60	*	X3215	170958	53868968	53889841	20874	+	49	upstream	49	ZNF525
chr19	53868859	53868918	60	*	X3215	91661	53868968	53930574	61607	+	49	upstream	49	ZNF765
chr19	53869264	53869323	60	*	X3216	170958	53868968	53889841	20874	+	0	inside	295	ZNF525
chr19	53869264	53869323	60	*	X3216	91661	53868968	53930574	61607	+	0	inside	295	ZNF765
chr19	53935056	53935090	35	*	X3225	147804	53935227	53947925	12699	+	136	upstream	136	TPM3P9
chr19	53935056	53935090	35	*	X3225	388561	53935227	53961515	26289	+	136	upstream	136	ZNF761
chr19	53970406	53970540	135	*	X3230	126017	53970989	54006948	35960	+	448	upstream	448	ZNF813
chr19	53970781	53970960	180	*	X3231	126017	53970989	54006948	35960	+	28	upstream	28	ZNF813
chr19	53971231	53971500	270	*	X3232	126017	53970989	54006948	35960	+	0	inside	241	ZNF813
chr19	54184587	54184631	45	*	X3253	574464	54185413	54185499	87	+	781	upstream	781	MIR520F
chr19	54213121	54213210	90	*	X3255	574478	54214256	54214342	87	+	1045	upstream	1045	MIR524
chr19	54219323	54219375	53	*	X3256	574481	54219848	54219934	87	+	472	upstream	472	MIR521-2
chr19	56348167	56348376	210	*	X3275	147945	56347944	56393220	45277	+	0	inside	222	NLRP4
chr19	56348167	56348376	210	*	X3275	204801	56296763	56348128	51366	-	38	upstream	38	NLRP11
chr19	56457967	56458071	105	*	X3281	126205	56459198	56499995	40798	+	1126	upstream	1126	NLRP8
chr19	56705438	56705574	137	*	X3283	342933	56701058	56704421	3364	-	1016	upstream	1016	ZSCAN5B
chr19	57019474	57019608	135	*	X3309	57573	57019212	57040269	21058	+	0	inside	261	ZNF471
chr19	57050359	57050414	56	*	X3312	140612	57050317	57068170	17854	+	0	inside	41	ZFP28
chr19	57105810	57106205	396	*	X3319	58491	57106664	57135544	28881	+	458	upstream	458	ZNF71
chr19	57154106	57154210	105	*	X3322	147670	57154527	57168614	14088	+	316	upstream	316	SMIM17
chr19	57154331	57154525	195	*	X3323	147670	57154527	57168614	14088	+	1	upstream	1	SMIM17
chr19	57154796	57154865	70	*	X3324	147670	57154527	57168614	14088	+	0	inside	268	SMIM17
chr19	57185110	57185192	83	*	X3330	90485	57174020	57183123	9104	-	1986	upstream	1986	ZNF835
chr19	57351305	57351424	120	*	X3345	100073347	57352270	57359922	7653	+	845	upstream	845	MIMT1
chr19	57351515	57351594	80	*	X3346	100073347	57352270	57359922	7653	+	675	upstream	675	MIMT1
chr19	57352305	57352424	120	*	X3347	100073347	57352270	57359922	7653	+	0	inside	34	MIMT1
chr19	57352305	57352424	120	*	X3347	23619	57285923	57352097	66175	-	207	upstream	207	ZIM2
chr19	57352305	57352424	120	*	X3347	5178	57321445	57352094	30650	-	210	upstream	210	PEG3
chr19	57631550	57631639	90	*	X3389	57663	57631509	57643293	11785	+	0	inside	40	USP29
chr19	57742517	57742576	60	*	X3399	6795	57742377	57746916	4540	+	0	inside	139	AURKC
chr19	57830190	57830309	120	*	X3404	125919	57831865	57842144	10280	+	1555	upstream	1555	ZNF543
chr19	57873557	57873676	120	*	X3411	10597	57874879	57876721	1843	+	1202	upstream	1202	TRAPPC2B
chr19	57873557	57873676	120	*	X3411	284306	57874879	57890925	16047	+	1202	upstream	1202	ZNF547
chr19	57874997	57875101	105	*	X3412	10597	57874879	57876721	1843	+	0	inside	117	TRAPPC2B
chr19	57874997	57875101	105	*	X3412	284306	57874879	57890925	16047	+	0	inside	117	ZNF547
chr19	57945750	57945914	165	*	X3422	388567	57946693	57957191	10499	+	778	upstream	778	ZNF749
chr19	58036965	58037069	105	*	X3427	256051	58038693	58052244	13552	+	1623	upstream	1623	ZNF549
chr19	58071978	58072082	105	*	X3430	162972	58053204	58071231	18028	-	746	upstream	746	ZNF550
chr19	58220342	58220395	54	*	X3443	7710	58208735	58220579	11845	-	0	inside	183	ZNF154
chr19	58513988	58514062	75	*	X3472	100128398	58514262	58518574	4313	+	199	upstream	199	LOC100128398
chr19	58516568	58516672	105	*	X3473	80095	58488441	58514714	26274	-	1853	upstream	1853	ZNF606
chr19	58544663	58544782	120	*	X3482	284312	58545434	58565999	20566	+	651	upstream	651	ZSCAN1
chr19	58545668	58546265	598	*	X3483	284312	58545434	58565999	20566	+	0	inside	233	ZSCAN1
chr19	58569399	58569503	105	*	X3493	7694	58570607	58581110	10504	+	1103	upstream	1103	ZNF135
chr19	58570674	58570973	300	*	X3494	7694	58570607	58581110	10504	+	0	inside	66	ZNF135
chr19	58629829	58629918	90	*	X3505	65982	58595209	58629793	34585	-	35	upstream	35	ZSCAN18
chr19	58693865	58694044	180	*	X3510	10782	58694396	58724927	30532	+	351	upstream	351	ZNF274
chr19	58694105	58694404	300	*	X3511	10782	58694396	58724927	30532	+	0	overlapStart	0	ZNF274
chr19	58951924	58952058	135	*	X3522	7691	58944181	58951589	7409	-	334	upstream	334	ZNF132
chr2	264227	264260	34	*	X3525	52	264869	278282	13414	+	608	upstream	608	ACP1
chr2	4023451	4023492	42	*	X3546	100505964	4005245	4021622	16378	-	1828	upstream	1828	LINC01304
chr2	5831672	5831746	75	*	X3574	6664	5832799	5841517	8719	+	1052	upstream	1052	SOX11
chr2	10182889	10182993	105	*	X3600	8462	10183682	10194963	11282	+	688	upstream	688	KLF11
chr2	10183162	10183197	36	*	X3601	8462	10183682	10194963	11282	+	484	upstream	484	KLF11
chr2	17721085	17721217	133	*	X3629	7447	17721807	17837706	115900	+	589	upstream	589	VSNL1
chr2	20214127	20214146	20	*	X3634	4148	20191813	20212455	20643	-	1671	upstream	1671	MATN3
chr2	27805511	27805645	135	*	X3659	84450	27805836	27858101	52266	+	190	upstream	190	ZNF512
chr2	46704970	46705074	105	*	X3720	388946	46706704	46711564	4861	+	1629	upstream	1629	TMEM247
chr2	70529744	70529878	135	*	X3788	84908	70523108	70529220	6113	-	523	upstream	523	FAM136A
chr2	71502630	71502764	135	*	X3793	27332	71503723	71662191	158469	+	958	upstream	958	ZNF638
chr2	73965631	73965685	55	*	X3811	51002	73956957	73964517	7561	-	1113	upstream	1113	TPRKB
chr2	170440170	170440304	135	*	X4086	9360	170440850	170494254	53405	+	545	upstream	545	PPIG
chr2	182547007	182547111	105	*	X4117	375298	182401401	182545392	143992	-	1614	upstream	1614	CERKL
chr2	182547007	182547111	105	*	X4117	4760	182540833	182545392	4560	-	1614	upstream	1614	NEUROD1
chr2	185462796	185462801	6	*	X4120	91752	185463093	185804214	341122	+	291	upstream	291	ZNF804A
chr2	186603189	186603263	75	*	X4123	401024	186603355	186698016	94662	+	91	upstream	91	FSIP2
chr2	186603549	186603584	36	*	X4124	401024	186603355	186698016	94662	+	0	inside	193	FSIP2
chr2	219925461	219925575	115	*	X4182	100422957	219923410	219923472	63	-	1988	upstream	1988	MIR3131
chr2	219925461	219925575	115	*	X4182	3549	219919142	219925238	6097	-	222	upstream	222	IHH
chr2	234668155	234668289	135	*	X4214	54658	234668919	234681951	13033	+	629	upstream	629	UGT1A1
chr20	525012	525101	90	*	X4302	1457	463338	524482	61145	-	529	upstream	529	CSNK2A1
chr20	16709469	16709543	75	*	X4371	6629	16710609	16722417	11809	+	1065	upstream	1065	SNRPB2
chr20	30639253	30639374	122	*	X4399	3055	30639991	30689657	49667	+	616	upstream	616	HCK
chr20	45086755	45086814	60	*	X4421	100130934	45085132	45086282	1151	-	472	upstream	472	ZNF663P
chr20	45946057	45946161	105	*	X4428	100131496	45947246	45949498	2253	+	1084	upstream	1084	LOC100131496
chr21	39601734	39601853	120	*	X4546	3772	39601837	39673746	71910	+	0	overlapStart	0	KCNJ15
chr21	45874567	45874671	105	*	X4550	81543	45875393	45878739	3347	+	721	upstream	721	LRRC3
chr21	45874905	45874924	20	*	X4551	100861510	45870869	45875167	4299	-	0	inside	242	LRRC3-DT
chr21	45874905	45874924	20	*	X4551	81543	45875393	45878739	3347	+	468	upstream	468	LRRC3
chr21	46031575	46031649	75	*	X4552	386681	46031996	46032871	876	+	346	upstream	346	KRTAP10-8
chr22	21332590	21332680	91	*	X4558	8216	21333751	21353326	19576	+	1070	upstream	1070	LZTR1
chr22	31364499	31364500	2	*	X4564	22880	31322600	31364187	41588	-	311	upstream	311	MORC2
chr22	31364499	31364500	2	*	X4564	55000	31365634	31375380	9747	+	1133	upstream	1133	TUG1
chr22	44895992	44896096	105	*	X4586	84247	44888450	44894005	5556	-	1986	upstream	1986	RTL6
chr22	45808917	45809138	222	*	X4587	26150	45809572	45828302	18731	+	433	upstream	433	RIBC2
chr3	39850797	39850916	120	*	X4663	25924	39851303	40301811	450509	+	386	upstream	386	MYRIP
chr3	43394828	43394917	90	*	X4669	100873954	43388411	43393454	5044	-	1373	upstream	1373	SNRK-AS1
chr3	44752406	44752630	225	*	X4682	91392	44754135	44765323	11189	+	1504	upstream	1504	ZNF502
chr3	44802561	44802665	105	*	X4685	56992	44803209	44894748	91540	+	543	upstream	543	KIF15
chr3	56717916	56718005	90	*	X4693	23272	56654160	56717135	62976	-	780	upstream	780	TASOR
chr3	75835966	75836130	165	*	X4711	100131827	75758794	75834670	75877	-	1295	upstream	1295	ZNF717
chr3	126379364	126379453	90	*	X4785	255330	126380924	126390782	9859	+	1470	upstream	1470	NUP210P1
chr3	126380354	126380488	135	*	X4786	255330	126380924	126390782	9859	+	435	upstream	435	NUP210P1
chr3	138152449	138152568	120	*	X4803	83850	138153415	138197256	43842	+	846	upstream	846	ESYT3
chr3	170627834	170627938	105	*	X4848	56648	170606204	170626426	20223	-	1407	upstream	1407	EIF5A2
chr4	6203194	6203283	90	*	X4899	152789	6027926	6202318	174393	-	875	upstream	875	JAKMIP1
chr4	186456538	186456762	225	*	X4991	27295	186421815	186456712	34898	-	0	overlapStart	0	PDLIM3
chr5	2750202	2750321	120	*	X5010	153571	2752262	2755511	3250	+	1940	upstream	1940	C5orf38
chr5	140512697	140512816	120	*	X5230	26167	140514800	140517704	2905	+	1983	upstream	1983	PCDHB5
chr5	140722569	140722643	75	*	X5235	56112	140723601	140892548	168948	+	957	upstream	957	PCDHGA3
chr5	169064114	169064278	165	*	X5284	1794	169064251	169510386	446136	+	0	overlapStart	0	DOCK2
chr5	169064444	169064507	64	*	X5285	1794	169064251	169510386	446136	+	0	inside	192	DOCK2
chr5	170288723	170288742	20	*	X5289	64901	170288896	170727019	438124	+	153	upstream	153	RANBP17
chr5	178157928	178158032	105	*	X5343	6940	178138522	178157703	19182	-	224	upstream	224	ZNF354A
chr5	178366759	178366863	105	*	X5354	285676	178368194	178393218	25025	+	1330	upstream	1330	ZNF454
chr5	178423055	178423096	42	*	X5371	2916	178405330	178422124	16795	-	930	upstream	930	GRM6
chr6	99282589	99282648	60	*	X5500	5454	99282580	99286666	4087	+	0	inside	8	POU3F2
chr7	5111664	5111813	150	*	X5607	389458	5111691	5112854	1164	+	0	overlapStart	0	RBAKDN
chr7	5111919	5111996	78	*	X5608	389458	5111691	5112854	1164	+	0	inside	227	RBAKDN
chr7	56174956	56175090	135	*	X5698	51142	56169266	56174187	4922	-	768	upstream	768	CHCHD2
chr7	56515761	56515786	26	*	X5702	650226	56491397	56516068	24672	-	0	inside	281	LOC650226
chr7	56517530	56517533	4	*	X5703	650226	56491397	56516068	24672	-	1461	upstream	1461	LOC650226
chr7	57472010	57472018	9	*	X5720	100422939	57472731	57472796	66	+	712	upstream	712	MIR3147
chr7	63772372	63772431	60	*	X5742	728927	63773186	63810017	36832	+	754	upstream	754	ZNF736
chr7	89748642	89748731	90	*	X5815	442523	89748714	89754914	6201	+	0	overlapStart	0	DPY19L2P4
chr7	100025414	100025533	120	*	X5852	56257	100026413	100031749	5337	+	879	upstream	879	MEPCE
chr7	142984538	142984620	83	*	X5936	835	142985308	143004789	19482	+	687	upstream	687	CASP2
chr8	67874841	67874945	105	*	X6140	100129654	67858736	67874825	16090	-	15	upstream	15	TCF24
chr8	117888753	117888842	90	*	X6204	100500914	117886967	117887039	73	-	1713	upstream	1713	MIR3610
chr8	117888753	117888842	90	*	X6204	5885	117858173	117887105	28933	-	1647	upstream	1647	RAD21
chr8	125951195	125951314	120	*	X6224	157381	125951884	125963337	11454	+	569	upstream	569	LINC00964
chr8	125984292	125984366	75	*	X6225	137209	125985539	125991630	6092	+	1172	upstream	1172	ZNF572
